"name"	"size"	"type"	"directory"
".gitignore"	"60"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"README.md"	"21"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python"
"COMMIT_EDITMSG"	"300"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"config"	"916"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"description"	"73"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"FETCH_HEAD"	"1177"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"HEAD"	"28"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"index"	"4828"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"ORIG_HEAD"	"41"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"packed-refs"	"185"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git"
"applypatch-msg.sample"	"478"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"commit-msg.sample"	"896"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"fsmonitor-watchman.sample"	"4726"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"post-update.sample"	"189"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"pre-applypatch.sample"	"424"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"pre-commit.sample"	"1643"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"pre-merge-commit.sample"	"416"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"pre-push.sample"	"1374"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"pre-rebase.sample"	"4898"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"pre-receive.sample"	"544"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"prepare-commit-msg.sample"	"1492"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"push-to-checkout.sample"	"2783"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"update.sample"	"3650"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\hooks"
"exclude"	"240"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\info"
"HEAD"	"7115"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs"
"Home_Work_1"	"481"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_2"	"488"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_3"	"488"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_4"	"461"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_5"	"648"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_6"	"629"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_7"	"1087"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"Home_Work_8"	"181"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"main"	"1523"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\heads"
"HEAD"	"198"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_1"	"286"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_2"	"433"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_3"	"433"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_4"	"433"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_5"	"576"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_6"	"576"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_7"	"576"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"Home_Work_8"	"147"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"main"	"1315"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\logs\refs\remotes\origin"
"8d2055b7778fba6856b7ae201ca0600e77fb2d"	"154"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\01"
"e1dcef8093df9697b450973d76bb86a5506e63"	"142"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\01"
"09e78af9b915f5ac726b9c268ad2786d51baf6"	"1205"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\02"
"839d7d65df22c0a0ab14de5ed16a618758221d"	"91"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\02"
"e52c841b4c458463c23702cc56b23026f45f72"	"204"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\02"
"64f80e33989aaaa9f333a81914d896da283c4c"	"163"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\04"
"2554900fb60ddf0c1f4a05143bd79e8c4ab225"	"665"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\07"
"cb0115726c2b1e17c9b756cd6f7d62bb84d7ef"	"205"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\07"
"e05d7c034655d72cfcaa96fb405a103f0aa0d1"	"880"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\08"
"bdc8f8dee28210210860e23d26cd9260c9736a"	"926"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\0b"
